name	first_artist	duration_ms	popularity	explicit	album_release_date	album_release_year	added_at_date	url	first_letter	album_name	id
Get Into It (Yuh)	Doja Cat	138293	73	True	2021-06-25	2021	2022-01-05	https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb	G	Planet Her	0W6I02J9xcqK8MtSeosEXb
Truth Hurts	Lizzo	173325	68	True	2019-04-19	2019	2022-01-01	https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq	T	Cuz I Love You (Super Deluxe)	3HWzoMvoF3TQfYg4UPszDq
Surface Pressure	Jessica Darrow	202226	68	False	2021-11-19	2021	2021-12-20	https://open.spotify.com/track/760jhRscwGbIIe1m1IIQpU	S	Encanto (Original Motion Picture Soundtrack)	760jhRscwGbIIe1m1IIQpU
The Family Madrigal	Stephanie Beatriz	257213	66	False	2021-11-19	2021	2021-12-20	https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp	T	Encanto (Original Motion Picture Soundtrack)	4b1yxSdlumA8N4fEk4UOZp
We Don't Talk About Bruno	Carolina Gaitán	216120	71	False	2021-11-19	2021	2021-12-20	https://open.spotify.com/track/52xJxFP6TqMuO4Yt0eOkMz	W	Encanto (Original Motion Picture Soundtrack)	52xJxFP6TqMuO4Yt0eOkMz
Ghost in the Keys	Halloween Thrills	204511	32	False	2020-06-26	2020	2021-11-28	https://open.spotify.com/track/1nkUHrXKs007rtHaZuD5Vb	G	Just Dance (Original Creations & Covers from the Video Game)	1nkUHrXKs007rtHaZuD5Vb
Kings & Queens	Ava Max	162398	77	False	2020-09-18	2020	2021-11-25	https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI	K	Heaven & Hell	7a53HqqArd4b9NF4XAmlbI
Omg - Radio Edit	Arash	181812	0	False	2016-05-20	2016	2021-11-25	https://open.spotify.com/track/4xv25qSWmFYxMymVovY4MA	O	Omg	4xv25qSWmFYxMymVovY4MA
Running Out Of Time	Lin-Manuel Miranda	134835	48	False	2021-08-06	2021	2021-11-13	https://open.spotify.com/track/6ZYv8ozQzQr1ClAe8dnUZN	R	Vivo (Original Motion Picture Soundtrack)	6ZYv8ozQzQr1ClAe8dnUZN
One More Song	Lin-Manuel Miranda	152966	40	False	2021-08-06	2021	2021-11-06	https://open.spotify.com/track/29Zv8HZ4WPmUFLozdbOABa	O	Vivo (Original Motion Picture Soundtrack)	29Zv8HZ4WPmUFLozdbOABa
Grand Finale	Ynairaly Simo	126735	40	False	2021-08-06	2021	2021-10-31	https://open.spotify.com/track/5Zzxc9vyybINvDQyIaDyNG	G	Vivo (Original Motion Picture Soundtrack)	5Zzxc9vyybINvDQyIaDyNG
bellyache	Billie Eilish	179172	76	False	2017-02-24	2017	2021-10-25	https://open.spotify.com/track/51NFxnQvaosfDDutk0tams	B	Bellyache	51NFxnQvaosfDDutk0tams
